" ";"Instrument";"Test";"QC";"QC lot No.";"Target mean";"Target SD";"SDI";"Number of values";"Bias";"Calculated mean";"Calculated SD";"CV%";"Usage"
"";"C6000-A:C1";"TRIGLYCERIDE";"PCCC 2";"535719";"2,460";"0,120";"-0,326";"47";"-0,016";"2,421";"0,031";"1,286";"In use"
"";"C6000-A:E1-2";"TRI-IODO THYRONINE";"RIAP L1";"2179EC";"4,960";"0,620";"0,008";"38";"0,001";"4,965";"0,158";"3,181";"In use"
"";"C6000-A:E1-2";"TRI-IODO THYRONINE";"RIAP L2";"2228EC";"15,600";"1,950";"-0,152";"37";"-0,019";"15,304";"0,513";"3,350";"In use"
"";"C6000-B:C2";"UREA";"s-PCCC 2-B";"535719";"20,600";"1,000";"-0,646";"80";"-0,031";"19,954";"0,495";"2,481";"In use"
"";"C6000-A:C1";"UREA";"s-PCCC 2";"535719";"20,600";"1,000";"-0,734";"82";"-0,036";"19,866";"0,940";"4,733";"In use"
"";"C6000-A:C1";"UREA";"s-PCCC 1";"525205";"6,760";"0,340";"-0,520";"83";"-0,026";"6,583";"0,317";"4,814";"In use"
"";"C6000-B:C2";"UREA";"s-PCCC 1-B";"525205";"6,760";"0,340";"-0,398";"81";"-0,020";"6,625";"0,165";"2,498";"In use"
"";"C6000-A:C1";"UREA URINE";"Ran-Liq 2";"1209UC";"145,000";"14,500";"0,049";"7";"0,005";"145,714";"2,295";"1,575";"Study"
"";"C6000-B:C2";"UREA URINE";"Ran-Liq 2";"1209UC";"145,000";"14,500";"-0,034";"10";"-0,003";"144,510";"3,566";"2,468";"Study"
"";"C6000-A:C1";"UREA URINE";"Ran-Liq 3";"1210UC";"274,000";"27,500";"-0,123";"7";"-0,012";"270,614";"5,638";"2,083";"Study"
"";"C6000-B:C2";"UREA URINE";"Ran-Liq 3";"1210UC";"274,000";"27,500";"-0,045";"10";"-0,005";"272,750";"6,847";"2,510";"Study"
"";"C6000-B:C2";"UREA URINE";"Ran-Liq 3";"1238UC";"289,000";"29,000";"-0,369";"28";"-0,037";"278,286";"8,199";"2,946";"In use"
"";"C6000-A:C1";"UREA URINE";"Ran-Liq 3";"1238UC";"289,000";"29,000";"-0,007";"20";"-0,001";"288,800";"18,071";"6,257";"In use"
"";"C6000-B:C2";"UREA URINE";"Ran-Liq 2";"1237UC";"149,000";"15,000";"-0,218";"28";"-0,022";"145,725";"4,704";"3,228";"In use"
"";"C6000-A:C1";"UREA URINE";"Ran-Liq 2";"1237UC";"149,000";"15,000";"0,161";"23";"0,016";"151,413";"7,622";"5,034";"In use"
"";"C6000-A:C1";"URIC ACID";"PCCC 1";"525205";"0,282";"0,014";"0,207";"41";"0,010";"0,285";"0,005";"1,895";"In use"
"";"C6000-A:C1";"URIC ACID";"PCCC 2";"535719";"0,595";"0,030";"0,154";"40";"0,008";"0,600";"0,014";"2,253";"In use"
"";"C6000-B:C2";"URIC ACID";"PCCC 2-B";"535719";"0,595";"0,030";"0,376";"33";"0,019";"0,606";"0,012";"1,987";"In use"
"";"C6000-B:C2";"URIC ACID";"PCCC 1-B";"525205";"0,282";"0,014";"0,282";"40";"0,014";"0,286";"0,006";"2,059";"In use"
"";"C6000-B:C2";"URIC ACID URINE";"Ran-Liq 2";"1209UC";"0,540";"0,050";"-0,163";"7";"-0,015";"0,532";"0,011";"2,035";"Study"
"";"C6000-B:C2";"URIC ACID URINE";"Ran-Liq 3";"1210UC";"0,870";"0,090";"-0,102";"7";"-0,011";"0,861";"0,010";"1,141";"Study"
"";"C6000-B:C2";"URIC ACID URINE";"Ran-Liq 3";"1238UC";"0,850";"0,080";"0,363";"25";"0,034";"0,879";"0,020";"2,313";"In use"
"";"C6000-B:C2";"URIC ACID URINE";"Ran-Liq 2";"1237UC";"0,530";"0,050";"0,251";"25";"0,024";"0,543";"0,017";"3,154";"In use"
"";"OSMO1";"Urine osmolality";"Randox Urine QC 2";"1209UC";"414,000";"41,500";"0,024";"7";"0,002";"415,000";"3,958";"0,954";"Study"
"";"OSMO1";"Urine osmolality";"Randox Urine QC 3";"1210UC";"804,800";"4,570";"0,763";"7";"0,004";"808,286";"4,572";"0,566";"Study"
"";"Osmometer3320";"Urine osmolality";"Ran-Liq 3";"1238UC";"874,000";"87,500";"-0,331";"1";"-0,033";"845,000";"0,000";"0,000";"In use"
"";"OSMO1";"Urine osmolality";"Ran-Liq 3";"1238UC";"829,477";"6,181";"-0,149";"9";"-0,001";"828,556";"5,199";"0,627";"In use"
"";"Osmometer3320";"Urine osmolality";"Ran-Liq 2";"1237UC";"440,000";"44,000";"0,068";"1";"0,007";"443,000";"0,000";"0,000";"In use"
"";"OSMO1";"Urine osmolality";"Ran-Liq 2";"1237UC";"437,063";"5,905";"-0,434";"8";"-0,006";"434,500";"2,878";"0,662";"In use"
"";"OSMO1";"Urine osmolality";"Randox Urine QC 2";"1237UC";"440,000";"44,000";"-0,089";"15";"-0,009";"436,067";"3,751";"0,860";"In use"
"";"OSMO1";"Urine osmolality";"Randox Urine QC 3";"1238UC";"874,000";"87,500";"-0,486";"13";"-0,049";"831,462";"6,565";"0,790";"In use"
"";"LIAISON XL";"Varicella Zoster Virus IgG";"VZV IgG Neg";"6930400";"28,688";"9,167";"0,511";"4";"0,163";"33,373";"2,944";"8,821";"In use"
"";"LIAISON XL";"Varicella Zoster Virus IgG";"VZV IgG Pos";"6940420";"435,000";"83,333";"-0,291";"4";"-0,056";"410,725";"9,031";"2,199";"In use"
"";"C6000-A:E1-2";"VITAMIN B12 II";"RIAP L1";"2179EC";"154,000";"15,500";"0,260";"59";"0,026";"158,027";"9,676";"6,123";"In use"
"";"C6000-A:E1-2";"VITAMIN B12 II";"RIAP L2";"2228EC";"417,000";"41,500";"0,581";"54";"0,058";"441,096";"15,886";"3,602";"In use"

"14/08/2023 14:38"
